,Episode Number,First Activation Time [ms],First Event Time [ms],First Event Amplitude[pA]
185,185,11.050,10.925,-0.530
186,186,12.700,12.600,-0.530
187,187,10.700,10.175,-0.530
188,188,10.325,10.100,-0.530
189,189,14.425,14.350,-0.530
190,190,15.525,15.450,-0.530
191,191,10.725,10.675,-0.530
192,192,69.250,69.150,-0.530
193,193,11.450,11.400,-0.530
194,194,12.300,12.200,-0.530
195,195,12.575,12.425,-0.530
196,196,10.000,9.750,-2.170
197,197,10.025,10.325,-2.170
198,198,11.075,11.150,-1.100
199,199,11.200,11.150,-0.530
200,200,10.100,10.050,-0.530
201,201,12.075,12.000,-0.530
202,202,10.000,9.825,-0.530
203,203,10.600,10.500,-0.530
204,204,10.000,8.575,-1.100
205,205,75.175,75.075,-0.530
206,206,10.000,9.850,-0.530
207,207,11.575,11.475,-0.530
208,208,12.725,12.600,-0.530
209,209,12.300,12.150,-0.530
210,210,10.450,9.475,-0.530
211,211,69.350,69.275,-0.530
212,212,10.100,9.825,-0.530
213,213,11.400,11.275,-0.530
214,214,10.000,9.825,-0.530
215,215,13.400,13.200,-0.530
216,216,10.000,13.500,-0.530
217,217,14.000,12.450,-0.530
218,218,10.000,11.525,-0.530
219,219,12.425,11.950,-0.530
220,220,13.925,13.700,-0.530
221,221,10.000,13.175,-0.530
222,222,13.375,12.675,-0.530
223,223,12.800,12.500,-0.530
224,224,10.000,11.175,-0.530
225,225,13.625,12.750,-0.530
226,226,10.000,10.600,-0.530
227,227,13.175,12.850,-0.530
228,228,12.925,12.525,-0.530
229,229,12.975,12.800,-0.530
230,230,13.575,12.625,-0.530
231,231,13.200,12.800,-0.530
232,232,12.800,12.475,-0.530
233,233,13.250,13.150,-0.530
234,234,13.300,12.675,-0.530
235,235,10.000,13.075,-0.530
236,236,13.275,12.700,-0.530
237,237,12.375,12.225,-0.530
238,238,12.925,12.450,-0.530
239,239,12.425,12.100,-0.530
240,240,12.750,12.625,-0.530
241,241,14.100,13.525,-0.530
242,242,14.325,13.150,-0.530
243,243,10.000,9.500,-0.530
244,244,13.475,13.175,-0.530
245,245,13.125,12.575,-0.530
246,246,13.200,12.550,-0.530
247,247,13.550,11.375,-0.530
248,248,13.925,13.750,-0.530
249,249,13.025,12.775,-0.530
250,250,13.100,12.725,-0.530
251,251,13.725,12.675,-0.530
252,252,13.475,13.350,-0.530
253,253,12.625,12.500,-0.530
254,254,10.375,10.175,-0.530
255,255,12.700,11.825,-0.530
256,256,13.300,12.300,-0.530
257,257,10.000,12.675,-0.530
258,258,13.525,13.350,-0.530
259,259,13.825,12.050,-0.530
260,260,12.925,12.500,-0.530
261,261,12.925,12.800,-0.530
262,262,75.650,74.975,-0.530
263,263,13.150,10.650,-0.530
264,264,13.950,12.875,-0.530
265,265,12.525,12.300,-0.530
266,266,12.825,12.200,-0.530
267,267,12.525,12.400,-0.530
268,268,12.450,11.825,-0.530
269,269,12.875,11.025,-0.530
270,270,99.900,99.675,-0.530
271,271,13.250,12.750,-0.530
272,272,13.725,13.425,-0.530
273,273,13.200,12.600,-0.530
