,Episode Number,First Activation Time [s],First Event Time [s],First Event Amplitude[A]
0,0,0.014700,0.014525,-0.000000000000570
1,1,0.015150,0.014975,-0.000000000000570
2,2,0.019150,0.019050,-0.000000000000570
3,3,0.014125,0.014025,-0.000000000000570
4,4,0.017650,0.017100,-0.000000000000570
5,5,0.017550,0.017425,-0.000000000000570
6,6,0.014325,0.013775,-0.000000000000570
7,7,0.019300,0.019225,-0.000000000000570
8,8,0.014300,0.014175,-0.000000000000570
9,9,0.015225,0.015150,-0.000000000000570
10,10,0.020475,0.020350,-0.000000000000570
11,11,0.015175,0.015075,-0.000000000000570
12,12,0.014450,0.014175,-0.000000000000570
13,13,0.015275,0.015175,-0.000000000000570
14,14,0.014825,0.014750,-0.000000000000570
15,15,0.015125,0.014975,-0.000000000000570
16,16,0.015450,0.014900,-0.000000000000570
17,17,0.016125,0.016000,-0.000000000000570
18,18,0.015650,0.015575,-0.000000000000570
19,19,0.017225,0.016600,-0.000000000000570
20,20,0.014000,0.013800,-0.000000000000570
21,21,0.015350,0.015100,-0.000000000000570
22,22,0.014650,0.014575,-0.000000000000570
23,23,0.014725,0.014325,-0.000000000000570
24,24,0.015975,0.015925,-0.000000000000570
25,25,0.016525,0.016425,-0.000000000000570
26,26,0.014300,0.013625,-0.000000000000570
27,27,0.014300,0.014200,-0.000000000000570
28,28,0.014600,0.014525,-0.000000000000570
29,29,0.015000,0.014450,-0.000000000000570
30,30,0.014675,0.014550,-0.000000000000570
31,31,0.016450,0.016325,-0.000000000000570
32,32,0.016450,0.016525,-0.000000000001180
33,33,0.014125,0.014000,-0.000000000000570
34,34,0.014850,0.014675,-0.000000000000570
35,35,0.014075,0.013825,-0.000000000000570
36,36,0.016700,0.016425,-0.000000000000570
37,37,0.014125,0.013725,-0.000000000000570
38,38,0.016150,0.015625,-0.000000000000570
39,39,0.016650,0.016500,-0.000000000000570
40,40,0.014575,0.014500,-0.000000000000570
41,41,0.015025,0.014925,-0.000000000000570
42,42,0.014525,0.014450,-0.000000000000570
43,43,0.015150,0.015000,-0.000000000000570
44,44,0.015175,0.014750,-0.000000000000570
45,45,0.014850,0.014775,-0.000000000000570
46,46,0.015175,0.015075,-0.000000000000570
47,47,0.015600,0.015475,-0.000000000000570
48,48,0.015775,0.015625,-0.000000000000570
49,49,0.014250,0.014150,-0.000000000000570
50,50,0.014975,0.014900,-0.000000000000570
51,51,0.019925,0.019825,-0.000000000000570
52,52,0.015700,0.015625,-0.000000000000570
53,53,0.018050,0.017900,-0.000000000000570
54,54,0.018150,0.018025,-0.000000000000570
55,55,0.013975,0.013800,-0.000000000000570
56,56,0.017275,0.017125,-0.000000000000570
57,57,0.017300,0.017200,-0.000000000000570
58,58,0.016875,0.016750,-0.000000000000570
59,59,0.014750,0.014675,-0.000000000000570
60,60,0.016175,0.016075,-0.000000000000570
61,61,0.019300,0.018825,-0.000000000000570
62,62,0.014350,0.014175,-0.000000000000570
63,63,0.014675,0.014575,-0.000000000000570
64,64,0.016750,0.016675,-0.000000000000570
65,65,0.014800,0.014700,-0.000000000000570
66,66,0.014375,0.014275,-0.000000000000570
67,67,0.014675,0.014625,-0.000000000000570
68,68,0.014125,0.013650,-0.000000000000570
